Zone,Org_District,AC_Name,Panchayat_Total,Panchayat_Target_Win,Panchayat_Target_Opposition,Municipality_Total,Municipality_Target_Win,Municipality_Target_Opposition,Corporation_Total,Corporation_Target_Win,Corporation_Target_Opposition
Alappuzha,Alappuzha North,Alappuzha,4,0,2,1,0,1,0,0,0
Alappuzha,Alappuzha North,Ambalappuzha,5,3,2,0,0,0,0,0,0
Alappuzha,Alappuzha North,Aroor,10,6,2,0,0,0,0,0,0
Alappuzha,Alappuzha North,Cherthala,7,1,0,1,0,0,0,0,0
Alappuzha,Alappuzha North,Kuttanad,13,1,1,0,0,0,0,0,0
Alappuzha,Alappuzha South,Chenganur,10,9,0,1,1,0,0,0,0
Alappuzha,Alappuzha South,Haripad,10,4,0,1,1,0,0,0,0
Alappuzha,Alappuzha South,Kayamkulam,6,4,0,1,0,0,0,0,0
Alappuzha,Alappuzha South,Mavelikkara,7,6,0,1,1,0,0,0,0
Alappuzha,Idukki North,Devikulam,12,6,2,0,0,0,0,0,0
Alappuzha,Idukki North,Thodupuzha,12,2,2,1,1,0,0,0,0
Alappuzha,Idukki South,Idukki,9,1,0,1,0,0,0,0,0
Alappuzha,Idukki South,Peerumade,9,2,1,0,0,0,0,0,0
Alappuzha,Idukki South,Udumbanchola,10,0,3,0,0,0,0,0,0
Alappuzha,Kottayam East,Changanassery,5,3,0,1,1,0,0,0,0
Alappuzha,Kottayam East,Kanjirappally,9,4,1,0,0,0,0,0,0
Alappuzha,Kottayam East,Poonjar,9,6,0,1,0,0,0,0,0
Alappuzha,Kottayam East,Puthuppally,8,2,0,0,0,0,0,0,0
Alappuzha,Kottayam West,Ettumanoor,6,1,1,1,0,1,0,0,0
Alappuzha,Kottayam West,Kaduthuruthy,11,1,2,0,0,0,0,0,0
Alappuzha,Kottayam West,Kottayam,2,1,0,1,1,0,0,0,0
Alappuzha,Kottayam West,Pala,12,5,1,1,0,0,0,0,0
Alappuzha,Kottayam West,Vaikom,9,1,2,1,1,0,0,0,0
Ernakulam,Ernakulam City,Eranakulam,1,0,0,0,0,0,0,0,0
Ernakulam,Ernakulam City,Kochi,2,0,0,0,0,0,1,0,0
Ernakulam,Ernakulam City,Thrikkakara,0,0,0,1,0,0,0,0,0
Ernakulam,Ernakulam City,Thripunithura,2,1,0,2,1,0,0,0,0
Ernakulam,Ernakulam City,Vypen,8,3,1,0,0,0,0,0,0
Ernakulam,Ernakulam East,Kothamangalam,8,0,0,1,0,0,0,0,0
Ernakulam,Ernakulam East,Kunnathunad,8,0,0,0,0,0,0,0,0
Ernakulam,Ernakulam East,Muvattupuzha,11,0,0,1,0,0,0,0,0
Ernakulam,Ernakulam East,Piravom,9,0,1,2,0,0,0,0,0
Ernakulam,Ernakulam North,Aluva,7,1,0,1,1,0,0,0,0
Ernakulam,Ernakulam North,Angamaly,8,0,0,1,0,0,0,0,0
Ernakulam,Ernakulam North,Kalamassery,4,2,0,2,0,1,0,0,0
Ernakulam,Ernakulam North,Paravur,7,0,0,1,0,1,0,0,0
Ernakulam,Ernakulam North,Perumbavoor,7,0,1,1,0,1,0,0,0
Ernakulam,Thrissur City,Manalur,9,4,0,0,0,0,0,0,0
Ernakulam,Thrissur City,Nattika,9,8,0,0,0,0,0,0,0
Ernakulam,Thrissur City,Ollur,4,2,0,0,0,0,0,0,0
Ernakulam,Thrissur City,Puthukkad,8,5,0,0,0,0,0,0,0
Ernakulam,Thrissur City,Thrissur,0,0,0,0,0,0,1,1,0
Ernakulam,Thrissur North,Chelakkara,9,3,0,0,0,0,0,0,0
Ernakulam,Thrissur North,Guruvayoor,6,1,0,2,1,0,0,0,0
Ernakulam,Thrissur North,Kunnamkulam,7,2,0,1,1,0,0,0,0
Ernakulam,Thrissur North,Wadakkanchery,7,1,0,1,0,0,0,0,0
Ernakulam,Thrissur South,Chalakudy,7,3,0,1,0,0,0,0,0
Ernakulam,Thrissur South,Irinjalakuda,7,4,0,1,1,0,0,0,0
Ernakulam,Thrissur South,Kaipamangalam,7,3,0,0,0,0,0,0,0
Ernakulam,Thrissur South,Kodungallur,6,2,0,1,1,0,0,0,0
Kozhikode,Kannur North,Azhikode,5,0,0,0,0,0,1,0,0
Kozhikode,Kannur North,Irikkur,8,0,0,1,0,0,0,0,0
Kozhikode,Kannur North,Kalliasseri,10,0,0,0,0,0,0,0,0
Kozhikode,Kannur North,Kannur,1,0,0,0,0,0,0,0,0
Kozhikode,Kannur North,Payyannur,6,0,0,1,0,0,0,0,0
Kozhikode,Kannur North,Thaliparambu,7,0,0,2,0,0,0,0,0
Kozhikode,Kannur South,Dharmadam,8,0,1,0,0,0,0,0,0
Kozhikode,Kannur South,Kuthuparamba,5,1,1,2,0,0,0,0,0
Kozhikode,Kannur South,Mattannur,8,0,0,0,0,0,0,0,0
Kozhikode,Kannur South,Peravoor,8,0,1,1,0,1,0,0,0
Kozhikode,Kannur South,Thalassery,5,0,0,1,1,0,0,0,0
Kozhikode,Kasaragod,Kanhangad,7,0,0,1,0,0,0,0,0
Kozhikode,Kasaragod,Kasargod,7,6,0,1,0,1,0,0,0
Kozhikode,Kasaragod,Manjeshwaram,8,7,0,0,0,0,0,0,0
Kozhikode,Kasaragod,Thrikaripur,8,0,0,1,0,0,0,0,0
Kozhikode,Kasaragod,Udma,8,1,1,0,0,0,0,0,0
Kozhikode,Kozhikode City,Beypore,1,0,0,2,0,0,0,0,0
Kozhikode,Kozhikode City,Elathur,0,0,0,0,0,0,1,0,0
Kozhikode,Kozhikode City,Kunnamangalam,6,1,0,0,0,0,0,0,0
Kozhikode,Kozhikode North,Koyilandy,4,1,0,2,0,0,0,0,0
Kozhikode,Kozhikode North,Kuttiady,8,0,0,0,0,0,0,0,0
Kozhikode,Kozhikode North,Nadapuram,10,0,0,0,0,0,0,0,0
Kozhikode,Kozhikode North,Perambra,10,0,0,0,0,0,0,0,0
Kozhikode,Kozhikode North,Vatakara,4,0,0,1,0,0,0,0,0
Kozhikode,Kozhikode Rural,Balussery,9,0,0,0,0,0,0,0,0
Kozhikode,Kozhikode Rural,Elathur,6,2,0,0,0,0,0,0,0
Kozhikode,Kozhikode Rural,Koduvally,6,0,0,1,0,0,0,0,0
Kozhikode,Kozhikode Rural,Thiruvambady,6,0,0,1,0,0,0,0,0
Palakkad,Malappuram Central,Kondotty,6,0,1,1,0,0,0,0,0
Palakkad,Malappuram Central,Kottakkal,5,0,0,2,0,0,0,0,0
Palakkad,Malappuram Central,Malappuram,5,0,0,1,0,0,0,0,0
Palakkad,Malappuram Central,Mankada,7,0,0,0,0,0,0,0,0
Palakkad,Malappuram Central,Vengara,6,0,0,0,0,0,0,0,0
Palakkad,Malappuram East,Ernaad,7,0,0,0,0,0,0,0,0
Palakkad,Malappuram East,Manjeri,4,0,0,1,0,0,0,0,0
Palakkad,Malappuram East,Nilambur,7,0,0,1,0,0,0,0,0
Palakkad,Malappuram East,Perinthalamanna,6,0,0,1,0,0,0,0,0
Palakkad,Malappuram East,Wandoor,8,0,0,0,0,0,0,0,0
Palakkad,Malappuram West,Ponnani,5,0,0,1,0,0,0,0,0
Palakkad,Malappuram West,Tanur,5,0,0,1,1,0,0,0,0
Palakkad,Malappuram West,Thavanur,7,1,0,0,0,0,0,0,0
Palakkad,Malappuram West,Thirurangadi,4,0,0,2,0,0,0,0,0
Palakkad,Malappuram West,Tirur,6,0,0,1,0,0,0,0,0
Palakkad,Malappuram West,Vallikkunnu,6,3,0,0,0,0,0,0,0
Palakkad,Palakkad East,Alathur,7,1,1,0,0,0,0,0,0
Palakkad,Palakkad East,Chittur,8,0,1,1,0,0,0,0,0
Palakkad,Palakkad East,Kongad,9,3,0,0,0,0,0,0,0
Palakkad,Palakkad East,Malampuzha,8,6,1,0,0,0,0,0,0
Palakkad,Palakkad East,Nenmara,10,3,2,0,0,0,0,0,0
Palakkad,Palakkad East,Palakkad,3,0,1,1,1,0,0,0,0
Palakkad,Palakkad West,Mannarkad,7,2,1,1,0,0,0,0,0
Palakkad,Palakkad West,Ottapalam,7,2,1,1,1,0,0,0,0
Palakkad,Palakkad West,Pattambi,7,0,2,1,0,0,0,0,0
Palakkad,Palakkad West,Shornur,6,1,2,2,1,0,0,0,0
Palakkad,Palakkad West,Tarur,8,0,2,0,0,0,0,0,0
Palakkad,Palakkad West,Thrithala,8,1,1,0,0,0,0,0,0
Palakkad,Wayanad,Kalpetta,10,1,1,1,0,0,0,0,0
Palakkad,Wayanad,Mananthavady,6,0,1,1,0,0,0,0,0
Palakkad,Wayanad,Sulthanbathery,7,2,2,1,0,0,0,0,0
Thiruvananthapuram,Kollam East,Chadayamangalam,9,1,1,0,0,0,0,0,0
Thiruvananthapuram,Kollam East,Kottarakkara,7,5,1,1,1,0,0,0,0
Thiruvananthapuram,Kollam East,Kunnathur,10,5,2,0,0,0,0,0,0
Thiruvananthapuram,Kollam East,Pathanapuram,8,2,3,0,0,0,0,0,0
Thiruvananthapuram,Kollam East,Punaloor,7,3,0,1,0,0,0,0,0
Thiruvananthapuram,Kollam West,Chathannoor,6,5,0,1,0,1,0,0,0
Thiruvananthapuram,Kollam West,Chavara,5,1,0,0,0,0,1,0,1
Thiruvananthapuram,Kollam West,Eravipuram,1,0,1,0,0,0,0,0,0
Thiruvananthapuram,Kollam West,Karunagappally,6,4,1,1,1,0,0,0,0
Thiruvananthapuram,Kollam West,Kollam,2,1,1,0,0,0,0,0,0
Thiruvananthapuram,Kollam West,Kundara,7,4,0,0,0,0,0,0,0
Thiruvananthapuram,Pathanamthitta,Adoor,7,3,0,2,2,0,0,0,0
Thiruvananthapuram,Pathanamthitta,Aranmula,12,9,1,1,0,0,0,0,0
Thiruvananthapuram,Pathanamthitta,Konni,11,4,1,0,0,0,0,0,0
Thiruvananthapuram,Pathanamthitta,Ranni,12,7,0,0,0,0,0,0,0
Thiruvananthapuram,Pathanamthitta,Thiruvalla,11,6,1,1,0,1,0,0,0
Thiruvananthapuram,Thiruvananthapuram City,Kazhakkoottam,0,0,0,0,0,0,1,1,0
Thiruvananthapuram,Thiruvananthapuram North,Attingal,9,7,0,1,1,0,0,0,0
Thiruvananthapuram,Thiruvananthapuram North,Chirayinkeezhu,8,5,0,0,0,0,0,0,0
Thiruvananthapuram,Thiruvananthapuram North,Nedumangad,5,4,0,1,1,0,0,0,0
Thiruvananthapuram,Thiruvananthapuram North,Vamanapuram,9,5,0,0,0,0,0,0,0
Thiruvananthapuram,Thiruvananthapuram North,Varkala,7,4,0,1,1,0,0,0,0
Thiruvananthapuram,Thiruvananthapuram South,Aruvikkara,8,5,2,0,0,0,0,0,0
Thiruvananthapuram,Thiruvananthapuram South,Kattakkada,6,5,1,0,0,0,0,0,0
Thiruvananthapuram,Thiruvananthapuram South,Kovalam,7,6,0,0,0,0,0,0,0
Thiruvananthapuram,Thiruvananthapuram South,Neyyattinkara,5,2,0,1,1,0,0,0,0
Thiruvananthapuram,Thiruvananthapuram South,Parasala,9,5,1,0,0,0,0,0,0



