Org District,AC Name,Org Mandal,Local Body
Kottayam West,Pala,Pala,Kadanadu Gramapanchayath
Kottayam West,Pala,Pala,Kozhuvanal Gramapanchayath
Kottayam West,Pala,Pala,Karoor Grampanchayath
Kottayam West,Pala,Bharananganam,Bharananganam Gramapanchayath
Kannur South,Peravoor,Iritty,Iritty
Pathanamthitta,Aranmula,Aranmula,Koipram Gramapanchayath
Kottayam West,Kaduthuruthy,Kuravilangadu,Uzhavoor
Kottayam West,Kaduthuruthy,Kuravilangadu,Kuravilangadu Gramapanchayath
Wayanad,Kalpetta,Padinjarathara,Vengappally
Kottayam West,Kaduthuruthy,Kaduthuruthy,Kanakkary Gramapanchayath
Kottayam West,Kaduthuruthy,Kuravilangadu,Marangattupally Gramapanchayath
Kottayam West,Kaduthuruthy,Kaduthuruthy,Kadaplamattom Gramapanchayath
Kasaragod,Udma,Udma,Chemnad
Kottayam West,Ettumanoor,Ettumanoor,Athirampuzha
Kottayam West,Ettumanoor,Kumarakom,Arpookkara
Kottayam West,Ettumanoor,Kumarakom,Thiruvarppu Gramapanchayat
Kottayam West,Ettumanoor,Kumarakom,Kumarakom Gramapanchayath
Kottayam West,Ettumanoor,Ettumanoor,Neendoor Gramapanchayat
Kottayam West,Vaikom,Thalayolaparambu,Velloor Grama Panchayat
Kottayam West,Vaikom,Thalayolaparambu,Thalayolaparambu Gramapanchayath
Kottayam West,Kaduthuruthy,Kuravilangadu,Njeezhoor Gramapanchayat
Kottayam West,Kaduthuruthy,Kuravilangadu,Mulakkulam Gramapanchayath
Kottayam West,Vaikom,Vaikom,Kallara Grampanchayat
Kottayam West,Kaduthuruthy,Kaduthuruthy,Kaduthuruthy
Kottayam West,Vaikom,Thalayolaparambu,Udayanapuram
Kottayam West,Vaikom,Vaikom,Vechoor Grampanchayat
Palakkad East,Nenmara,Kollengode,Vadavannur gramapanchayat
Kottayam West,Vaikom,Thalayolaparambu,Maravanthuruthu Grama Panchayat
Kottayam West,Vaikom,Thalayolaparambu,Chempu Gramapanchayath
Alappuzha North,Kuttanad,Thakazhy,Thakazhy Grama Panchayat
Idukki South,Idukki,Kattappana,Kattappana
Idukki North,Thodupuzha,Thodupuzha,Thodupuzha
Pathanamthitta,Ranni,Ayiroor,Ayiroor
Idukki South,Peerumade,Elappara,Elappara Gramapanchayath
Idukki South,Peerumade,Peermade,Peermade Gramapanchayath
Idukki South,Peerumade,Elappara,Kokkayar Gramapanchayath
Idukki South,Peerumade,Peermade,Kumily
Idukki South,Peerumade,Elappara,Peruvanthanam Gramapanchayath
Palakkad East,Chittur,Kozhinjampara,Eruthampathy Gramapanchayath
Idukki North,Thodupuzha,Thodupuzha,Manakkad Gramapanchayath
Idukki North,Thodupuzha,Thodupuzha,Karimkunnam Gramapanchayath
Idukki North,Thodupuzha,Vannappuram,Edavetty Gramapanchayath
Idukki North,Thodupuzha,Thodupuzha,Muttam
Idukki North,Thodupuzha,Thodupuzha,Kumaramangalam Gramapanchayath
Idukki South,Peerumade,Peermade,Chakkupallam Gramapanchayath
Idukki South,Peerumade,Elappara,Ayyappankovil
Idukki South,Udumbanchola,Vandanmedu,Erattayar
Idukki South,Idukki,Kattappana,Kanchiyar Gramapanchayath
Kottayam West,Pala,Pala,Ramapuram Gramapanchayath
Idukki South,Peerumade,Elappara,Upputhara
Idukki South,Idukki,Kattappana,Mariyapuram Gramapanchayath
Idukki South,Idukki,Idukki,Vazhathope Gramapanchayath
Idukki South,Idukki,Kattappana,Kamakshy Gramapanchayath
Idukki South,Idukki,Idukki,Arakulam
Idukki South,Idukki,Idukki,Vathikudy Gramapanchayath
Idukki South,Idukki,Idukki,Kanjikkuzhy Gramapanchayath
Idukki South,Idukki,Idukki,Kudayathoor Grampanchayat
Idukki North,Thodupuzha,Vannappuram,Karimannoor Gramapanchayath
Kottayam West,Kaduthuruthy,Kuravilangadu,Veliyannoor Grampanchayath
Idukki North,Thodupuzha,Vannappuram,Alakode Gramapanchayat
Idukki North,Thodupuzha,Vannappuram,Kodikulam Gramapanchayath
Idukki North,Thodupuzha,Vannappuram,Udumbannoor
Idukki North,Thodupuzha,Vannappuram,Vannappuram Gramapanchayath
Idukki South,Udumbanchola,Udumbanchola,Rajakumary Gramapanchayat
Idukki South,Udumbanchola,Udumbanchola,Udumbanchola
Idukki South,Udumbanchola,Udumbanchola,Nedumkandom Gramapanchayath
Idukki South,Udumbanchola,Udumbanchola,Rajakkad Gramapanchayath
Palakkad West,Shornur,Cherpulassery,Thrikkadeeri Grampanchayat
Idukki South,Udumbanchola,Udumbanchola,Senapathy Gramapanchayath
Palakkad East,Alathur,Vandazhi,Vandazhy Gramapanchayath
Idukki North,Devikulam,Devikulam,Edamalakkudy Grama Panchayat
Idukki North,Devikulam,Devikulam,Devikulam Gramapanchayath
Idukki North,Devikulam,Adimali,Mankulam Gramapanchayath
Kottayam East,Kanjirappally,Vazhoor,Nedumkunnam Grampanchayath
Idukki South,Udumbanchola,Udumbanchola,Santhanpara Gramapanchayat
Idukki North,Devikulam,Devikulam,Vattavada Gramapanchayath
Pathanamthitta,Thiruvalla,Thiruvalla,Peringara Gramapanchayath
Idukki North,Devikulam,Devikulam,Munnar
Idukki North,Devikulam,Devikulam,Marayoor Gramapanchayat
Idukki North,Devikulam,Adimali,Pallivasal Gramapanchayat
Idukki North,Devikulam,Adimali,Vellathooval
Idukki North,Devikulam,Adimali,Baisonvalley Gramapanchayat
Idukki South,Idukki,Idukki,Konnathady Gramapanchayath
Idukki North,Devikulam,Adimali,Adimali
Ernakulam East,Piravom,Piravom,Koothattukulam
Ernakulam East,Piravom,Piravom,Piravom
Ernakulam City,Thripunithura,Palluruthy,Maradu
Ernakulam City,Thrikkakara,Thrikkakara,Thrikkakara
Palakkad West,Tarur,Tharur,Kottayi Gramapanchayath
Ernakulam North,Angamaly,Angamaly,Angamaly
Palakkad West,Shornur,Shornur,Chalavara Gramapanchayath
Ernakulam North,Kalamassery,Kalamassery,Kalamassery
Ernakulam North,Aluva,Aluva,Aluva
Kottayam West,Ettumanoor,Ettumanoor,Ettumanoor
Ernakulam East,Kothamangalam,Kothamangalam,Kothamangalam
Ernakulam East,Muvattupuzha,Muvattupuzha,Muvattupuzha
Ernakulam City,Thripunithura,Thrippunithura,Thrippunithura
Ernakulam East,Muvattupuzha,Muvattupuzha,Valakom Gramapanchayath
Ernakulam East,Muvattupuzha,Muvattupuzha,Marady Gramapanchayath
Ernakulam East,Muvattupuzha,Vazhakkulam,Manjalloor Gramapanchayath
Ernakulam East,Muvattupuzha,Vazhakkulam,Ayavana
Ernakulam East,Muvattupuzha,Vazhakkulam,Kalloorkaad Gramapanchayath
Ernakulam East,Muvattupuzha,Muvattupuzha,Paipra Gramapanchayath
Ernakulam East,Muvattupuzha,Muvattupuzha,Arakkuzha
Ernakulam East,Muvattupuzha,Vazhakkulam,Avoly
Ernakulam North,Paravur,Vadakkekara,Puthenvelikkara Gramapanchayath
Ernakulam North,Aluva,Nedumbassery,Sreemoolanagaram
Ernakulam North,Kalamassery,Karumalloor,Kunnukara Gramapanchayath
Ernakulam North,Angamaly,Angamaly,Parakkadavu Gramapanchayath
Ernakulam North,Aluva,Nedumbassery,Nedumbassery Gramapanchayath
Ernakulam North,Aluva,Nedumbassery,Chengamanadu Gramapanchayath
Palakkad West,Thrithala,Thrithala,Thirumittacode Gramapanchayath
Ernakulam East,Piravom,Piravom,Pampakuda Gramapanchayath
Ernakulam East,Muvattupuzha,Muvattupuzha,Palakuzha Gramapanchayath
Ernakulam East,Piravom,Piravom,Thirumaradi Gramapanchayath
Ernakulam East,Piravom,Piravom,Elanji
Ernakulam East,Kothamangalam,Kothamangalam,Kottappady Grama Panchayath
Ernakulam East,Kothamangalam,Kavalangad,Kuttampuzha Gramapanchayath
Ernakulam East,Kothamangalam,Kavalangad,Pallarimangalam Gramapanchayath
Ernakulam East,Muvattupuzha,Vazhakkulam,Pothanikkad Gramapanchayath
Ernakulam East,Kothamangalam,Kavalangad,Keerampaara Gramapanchayath
Ernakulam East,Kothamangalam,Kavalangad,Varapetty Gramapanchayath
Ernakulam East,Kothamangalam,Kavalangad,Kavalangad Gramapanchayath
Ernakulam East,Kothamangalam,Kothamangalam,Pindimana Gramapanchayath
Ernakulam East,Kothamangalam,Kothamangalam,Nellikuzhy Gramapanchayath
Ernakulam East,Muvattupuzha,Vazhakkulam,Paingottoor Gramapanchayath
Ernakulam East,Kunnathunad,Kunnathunadu,Kunnathunad Gramapanchayath
Ernakulam East,Kunnathunad,Kolenchery,Aikkaranadu Gramapanchayath
Ernakulam East,Kunnathunad,Kunnathunadu,Mazhuvanoor Gramapanchayath
Ernakulam East,Kunnathunad,Kolenchery,Vadavukode-Puthencruz Gramapanachayath
Ernakulam East,Kunnathunad,Kolenchery,Thiruvaniyoor Gramapanchayath
Ernakulam East,Kunnathunad,Kolenchery,Poothrika Gramapanchayath
Ernakulam East,Piravom,Chottanikara,Maneedu Gramapanchayath
Ernakulam East,Piravom,Chottanikara,Amballur
Ernakulam East,Piravom,Chottanikara,Edakkattuvayal
Ernakulam East,Piravom,Chottanikara,Chottanikara Gramapanchayath
Ernakulam East,Piravom,Chottanikara,Mulamthuruthy Gramapanchayath
Ernakulam City,Thripunithura,Thrippunithura,Udayamperoor
Ernakulam City,Thripunithura,Palluruthy,kumbalangi palam
Ernakulam City,Kochi,Kochi,Kumbalam Gramapanchayath
Ernakulam City,Kochi,Kochi,Chellanam Gramapanchayath
Ernakulam City,Vypen,Cherayi,Kuzhuppilly Gramapanchayath
Alappuzha North,Alappuzha,Alappuzha,Alappuzha
Ernakulam City,Vypen,Cherayi,Edavanakad
Ernakulam City,Vypen,Cherayi,Nayarambalam Gramapanchayath
Ernakulam City,Vypen,Vypin,Njarackal Gramapanchayath
Ernakulam City,Vypen,Vypin,Elamkunnapuzha Gramapanchayath
Ernakulam City,Vypen,Vypin,Mulavukadu Gramapanchayath
Ernakulam City,Eranakulam,Ernakulam North,Cherannalloor Gramapanchayat
Ernakulam City,Vypen,Vypin,Edamalakkudi
Ernakulam North,Aluva,Aluva,Keezhmadu Gramapanchayath
Ernakulam North,Aluva,Aluva,Edathala
Ernakulam North,Aluva,Aluva,Choornikkara Gramapanchayath
Ernakulam East,Kunnathunad,Kunnathunadu,Kizhakkambalam Gramapanchayath
Ernakulam East,Kunnathunad,Kunnathunadu,Vazhakkulam Gramapanchayath
Ernakulam North,Perumbavoor,Perumbavoor,Vengola
Ernakulam North,Perumbavoor,Perumbavoor,Okkal Gramapanchayath
Ernakulam North,Perumbavoor,Perumbavoor,Koovappady Gramapanchayath
Ernakulam North,Perumbavoor,Kuruppampady,Rayamangalam Gramapanchayath
Ernakulam North,Perumbavoor,Kuruppampady,Vengoor Gramapanchayath
Ernakulam North,Paravur,Paravoor,North Paravur
Ernakulam North,Perumbavoor,Kuruppampady,Asamannur
Ernakulam North,Angamaly,Kalady,Malayattoor-Neeleswaram Gramapanchayath
Ernakulam North,Angamaly,Kalady,Kalady
Ernakulam North,Aluva,Nedumbassery,Kanjoor Gramapanchayath
Ernakulam North,Angamaly,Kalady,Ayyampuzha
Ernakulam North,Angamaly,Angamaly,Karukutty Gramapanchayath
Ernakulam North,Angamaly,Kalady,Manjapra Gramapanchayath
Ernakulam North,Angamaly,Aroor,Thuravoor Gramapanchayat
Ernakulam North,Angamaly,Angamaly,Mookkannoor Gramapanchayath
Ernakulam North,Kalamassery,Kalamassery,Kadungalloor
Ernakulam North,Kalamassery,Karumalloor,Alangad Gramapanchayath
Ernakulam North,Paravur,Paravur,Varapuzha Gramapanchayath
Ernakulam North,Kalamassery,Karumalloor,Karumalloor Gramapanchayath
Ernakulam North,Paravur,Vadakkekara,Chittattukara Gramapanchayath
Ernakulam North,Paravur,Vadakkekara,Vadakkekkara Gramapanchayath
Ernakulam North,Paravur,Paravur,Ezhikkara
Ernakulam North,Paravur,Paravur,Kottuvally Gramapanchayath
Ernakulam North,Paravur,Vadakkekara,Chendamangalam Gramapanchayath
Ernakulam City,Kochi,Mattancherry,Kochi
Thrissur North,Wadakkanchery,Wadakkanchery,Wadakanchery
Thrissur North,Kunnamkulam,Kunnamkulam,Kunnamkulam
Thrissur North,Guruvayoor,Guruvayoor,Guruvayoor
Thrissur North,Guruvayoor,Chavakkad,Chavakkad
Thrissur South,Kodungallur,Kodungallur,Kodungallur
Thrissur South,Irinjalakuda,Irinjalakuda,Irinjalakuda
Thrissur South,Chalakudy,Chalakudy,Chalakudy
Thrissur South,Chalakudy,Koratty,Athirappilly
Thrissur South,Chalakudy,Koratty,Pariyaram (Thrissur)
Thrissur South,Chalakudy,Koratty,Meloor
Thrissur South,Chalakudy,Koratty,Koratty
Thrissur South,Chalakudy,Chalakudy,Kodassery
Thrissur South,Chalakudy,Koratty,Kadukutty
Thrissur South,Kodungallur,Mala,Poyya
Thrissur South,Kodungallur,Mala,Mala
Thrissur South,Kodungallur,Mala,Kuzhur
Thrissur South,Kodungallur,Mala,Annamanada
Thrissur South,Irinjalakuda,Aloor,Aloor
Thrissur South,Irinjalakuda,Aloor,Velookkara
Thrissur South,Kodungallur,Kodungallur,Vellangalur
Thrissur South,Kodungallur,Kodungallur,Puthenchira
Thrissur South,Irinjalakuda,Aloor,Poomangalam
Thrissur South,Irinjalakuda,Irinjalakuda,Padiyoor
Thrissur City,Puthukkad,Puthukkad,Parappookkara
Thrissur South,Irinjalakuda,Aloor,Muriyad
Thrissur South,Irinjalakuda,Irinjalakuda,Kattoor
Thrissur South,Irinjalakuda,Irinjalakuda,Karalam
Thrissur City,Puthukkad,Amballur,Varantharappilly
Thrissur City,Puthukkad,Amballur,Thrikkur
Thrissur City,Puthukkad,Puthukkad,Pudukkad
Thrissur City,Puthukkad,Amballur,Nenmanikkara
Thrissur City,Puthukkad,Puthukkad,Mattathur
Thrissur South,Chalakudy,Chalakudy,Kodakara
Thrissur City,Puthukkad,Amballur,Alagappanagar
Thrissur City,Puthukkad,Puthukkad,Vallachira
Thrissur City,Nattika,Cherpu,Paralam
Thrissur City,Nattika,Cherpu,Cherpu
Thrissur City,Nattika,Cherpu,Avinissery
Thrissur City,Manalur,Manalur,Arimbur
Thrissur City,Manalur,Manalur,Manalur
Thrissur City,Nattika,Cherpu,Chazhur
Thrissur City,Nattika,Cherpu,Thanniam
Thrissur City,Nattika,Nattika,Anthikkad
Thrissur South,Kaipamangalam,Edavilangu,Eriyad
Thrissur South,Kaipamangalam,Edavilangu,Edavilangu
Thrissur South,Kaipamangalam,Edavilangu,Sree Narayanapuram
Thrissur South,Kaipamangalam,Kaipamangalam,Perinjanam
Thrissur South,Kaipamangalam,Kaipamangalam,Mathilakam
Thrissur South,Kaipamangalam,Kaipamangalam,Kaipamangalam
Thrissur South,Kaipamangalam,Kaipamangalam,Edathiruthy
Thrissur City,Nattika,Nattika,Valappad
Thrissur City,Nattika,Nattika,Nattika
Thrissur City,Nattika,Nattika,Thalikulam
Thrissur City,Manalur,Manalur,Vadanappilly
Thrissur North,Guruvayoor,Chavakkad,Engandiyoor
Thrissur City,Manalur,Manalur,Venkitangu
Thrissur City,Manalur,Pavaratty,Pavaratty
Thrissur City,Manalur,Manalur,Mullassery
Thrissur City,Manalur,Manalur,Elavally
Thrissur North,Wadakkanchery,Kaipparambu,Kolazhy
Thrissur North,Wadakkanchery,Kaipparambu,Tholur
Thrissur North,Wadakkanchery,Wadakkanchery,Mulamkunnathukavu
Thrissur North,Wadakkanchery,Kaipparambu,Kaiparambu
Thrissur North,Wadakkanchery,Wadakkanchery,Avanur
Thrissur North,Wadakkanchery,Kaipparambu,Adat
Thrissur City,Ollur,Peechi,Puthur
Thrissur City,Ollur,Peechi,Pananchery
Thrissur City,Ollur,Ollur,Nadathara
Thrissur City,Ollur,Peechi,Madakkathara
Thrissur North,Chelakkara,Chelakkara,Thiruvilwamala
Thrissur North,Chelakkara,Chelakkara,Pazhayannur
Thrissur North,Chelakkara,Cheruthuruthy,Panjal
Thrissur North,Chelakkara,Chelakkara,Kondazhy
Thrissur North,Chelakkara,Cheruthuruthy,Vallathole Nagar
Thrissur North,Chelakkara,Chelakkara,Chelakkara
Thrissur North,Chelakkara,Cheruthuruthy,Varavoor
Thrissur North,Wadakkanchery,Wadakkanchery,Thekkumkara
Thrissur North,Chelakkara,Cheruthuruthy,Mullurkkara
Thrissur North,Kunnamkulam,Erumapetty,Erumapetty
Thrissur North,Chelakkara,Cheruthuruthy,Desamangalam
Thrissur North,Kunnamkulam,Erumapetty,Velur
Thrissur North,Kunnamkulam,Erumapetty,Kadangode
Thrissur North,Kunnamkulam,Kunnamkulam,Porkulam
Thrissur North,Kunnamkulam,Kunnamkulam,Kattakampal
Thrissur City,Manalur,Pavaratty,Kandanassery
Thrissur North,Kunnamkulam,Erumapetty,Kadavalloor
Thrissur North,Kunnamkulam,Kunnamkulam,Chowannur
Thrissur City,Manalur,Pavaratty,Choondal
Thrissur North,Guruvayoor,Guruvayoor,Vadakkekkad
Thrissur North,Guruvayoor,Guruvayoor,Punnayoorkulam
Thrissur North,Guruvayoor,Guruvayoor,Punnayoor
Thrissur North,Guruvayoor,Chavakkad,Orumanayoor
Thrissur North,Guruvayoor,Chavakkad,Kadappuram
Thrissur City,Thrissur,Thrissur west,Thrissur
Palakkad West,Mannarkad,Mannarkkad,Mannarkad
Palakkad West,Shornur,Cherpulassery,Cherpulassery
Palakkad West,Pattambi,Pattambi,Pattambi
Palakkad East,Chittur,Chittoor,ChitturThathamangalam
Palakkad East,Palakkad,Palakkad,Palakkad
Palakkad West,Ottapalam,Ottapalam,Ottappalam
Palakkad West,Shornur,Shornur,Shoranur
Palakkad West,Tarur,Vadakkenchery,Kannambra Gramapanchayath
Palakkad West,Tarur,Vadakkenchery,Vadakkenchery Gramapanchayath
Palakkad West,Tarur,Tharur,Tarur
Pathanamthitta,Thiruvalla,Thiruvalla,Nedumpram Gramapanchayath
Palakkad East,Alathur,Vandazhi,Kizhakkanchery Gramapanchayath
Palakkad West,Tarur,Vadakkenchery,Kavassery
Palakkad East,Alathur,Alathur,Erimayur
Palakkad East,Alathur,Alathur,Alathur
Palakkad East,Malampuzha,Puthussery,Kodumbu
Wayanad,Sulthanbathery,Sulthan Bathery,Noolpuzha
Palakkad East,Malampuzha,Malampuzha,Puduppariyaram Gramapanchayath
Palakkad East,Malampuzha,Puthussery,Marutharode Gramapanchayath
Palakkad East,Malampuzha,Malampuzha,Malampuzha Gramapanchayath
Palakkad East,Malampuzha,Malampuzha,Akathethara
Wayanad,Sulthanbathery,Pulpally,Pulpally
Palakkad East,Nenmara,Nenmara,Nemmara Grampanchayat
Palakkad East,Alathur,Vandazhi,Melarcode Grampanchayat
Palakkad East,Nenmara,Nenmara,Pallassena Grampanchayat
Palakkad East,Nenmara,Kollengode,Elavanchery Gramapanchayath
Palakkad East,Nenmara,Kollengode,Nelliyampathy Gramapanchayath
Palakkad East,Nenmara,Nenmara,Ayiloor
Palakkad East,Chittur,Chittoor,Pattanchery Gramapanchayath
Palakkad East,Chittur,Chittoor,Peruvemba Gramapanchayath
Pathanamthitta,Thiruvalla,Thiruvalla,Niranam Gramapanchayath
Alappuzha North,Alappuzha,Mararikkulam,Mararikulam North Grama Panchayat
Palakkad East,Nenmara,Kollengode,Muthalamada Gramapanchayath
Palakkad East,Nenmara,Nenmara,Koduvayur Gramapanchayath
Palakkad East,Nenmara,Kollengode,Kollengode Gramapanchayat
Palakkad East,Chittur,Chittoor,Polppulli Grampanchayat
Palakkad East,Malampuzha,Puthussery,Elappully
Palakkad East,Chittur,Kozhinjampara,Vadavannur gramapanchayat
Palakkad East,Chittur,Chittoor,Perumatty Gramapanchayath
Palakkad East,Chittur,Kozhinjampara,Nalleppilly Gramapanchayath
Palakkad East,Chittur,Kozhinjampara,Kozhinjampara Gramapanchayath
Palakkad West,Mannarkad,Mannarkkad,Thenkara Gramapanchayath
Kannur South,Dharmadam,Dharmadom,Dharmadam
Palakkad East,Alathur,Alathur,Thenkurissi Grampanchayat
Palakkad West,Tarur,Tharur,Peringottukurissi Gramapanchayath
Palakkad East,Palakkad,Pirayiri,Mathoor Grampanchayat
Palakkad East,Alathur,Alathur,Kuzhalmannam Gramapanchayath
Palakkad West,Tarur,Tharur,Kuthanur Grampanchayat
Kottayam West,Vaikom,Vaikom,Thalayazham Gramapanchayath
Palakkad East,Kongad,Kongad,Parali
Palakkad East,Kongad,Kongad,Mankara
Palakkad East,Kongad,Kongad,Mannur
Palakkad East,Kongad,Kongad,Keralasseri Gramapanchayath
Palakkad East,Kongad,Kongad,Kongad Gramapanchayath
Palakkad East,Malampuzha,Malampuzha,Mundur Gramapanchayath
Palakkad East,Palakkad,Pirayiri,Pirayiri Gramapanchayath
Palakkad West,Mannarkad,Attappady,Sholayar
Palakkad West,Mannarkad,Attappady,Parudur
Palakkad West,Mannarkad,Attappady,Agali
Alappuzha North,Ambalappuzha,Ambalappuzha,Ambalapuzha North
Palakkad East,Kongad,Karimba,Thachampara Gramapanchayath
Palakkad East,Kongad,Karimba,Kanhirapuzha Grama Panchayat
Palakkad West,Mannarkad,Mannarkkad,Kumaramputhur gram panchayat
Palakkad West,Mannarkad,Mannarkkad,Kottappadam Gramapanchayath
Palakkad East,Kongad,Karimba,Karimba
Palakkad West,Mannarkad,Mannarkkad,Alanallur
Palakkad West,Ottapalam,Sreekrishnapuram,Pookottukavu Gramapanchayath
Palakkad West,Ottapalam,Sreekrishnapuram,Thachanattukara Gramapanchayath
Palakkad East,Kongad,Karimba,Karakurussi Gramapanchayath
Palakkad West,Shornur,Cherpulassery,Vellinezhi Gramapanchayath
Pathanamthitta,Thiruvalla,Thiruvalla,Kuttoor Gramapanchayath
Palakkad West,Ottapalam,Sreekrishnapuram,Karimba Gramapanchayath
Palakkad West,Ottapalam,Sreekrishnapuram,Kadampazhipuram Gramapanchayath
Palakkad West,Shornur,Cherpulassery,Nellaya
Alappuzha North,Aroor,Aroor,Thuravoor grama panchayat
Pathanamthitta,Thiruvalla,Thiruvalla,Kadapra Gramapanchayath
Palakkad West,Shornur,Shornur,Vaniyamkulam Gramapanchayath
Palakkad West,Ottapalam,Ottapalam,Lakkidi Peroor Gram Panchayat
Kottayam West,Vaikom,Vaikom,TV Puram Grama Panchayat
Palakkad West,Shornur,Shornur,Ananganadi
Palakkad West,Ottapalam,Ottapalam,Ambalapara
Palakkad West,Thrithala,Thrithala,Parudur
Palakkad West,Pattambi,Koppam,Vilayur Gramapanchayath
Palakkad West,Pattambi,Koppam,Thiruvegappura Gramapanchayath
Pathanamthitta,Thiruvalla,Mallappally,Mallappally Gramapanchayath
Palakkad West,Pattambi,Pattambi,Muthuthala Gramapanchayath
Palakkad West,Pattambi,Koppam,Kulukkallur Gramapanchayath
Palakkad West,Pattambi,Koppam,Koppam Gramapanchayath
Palakkad West,Thrithala,Thrithala,Thrithala Grampanchayat
Palakkad East,Palakkad,Pirayiri,Kannadi Gramapanchayath
Palakkad West,Thrithala,Kappur,Pattithara Gramapanchayath
Palakkad West,Thrithala,Thrithala,Nagalassery Grampanchayat
Palakkad West,Thrithala,Kappur,Kappoor Gramapanchayath
Palakkad West,Thrithala,Kappur,Chalissery Gramapanchayath
Palakkad West,Thrithala,Kappur,Anakkara
Malappuram Central,Kondotty,Kondotty,Kondotty
Malappuram West,Thirurangadi,Tirurangadi,Tirurangadi
Malappuram Central,Kottakkal,Kuttippuram,Valanchery
Malappuram West,Thirurangadi,Tirurangadi,Parappanangadi
Malappuram West,Tanur,Tanur,Thuvoor
Malappuram East,Nilambur,Nilambur,Nilambur
Malappuram Central,Kottakkal,Kottakkal,Kottakkal
Malappuram East,Manjeri,Manjeri,Manjeri
Malappuram Central,Malappuram,Malappuram,Malappuram
Malappuram East,Perinthalamanna,Perinthalmanna,Perinthalmanna
Malappuram West,Tirur,Tirur,Tirur
Malappuram West,Ponnani,Ponnani,Ponnani
